Year,States,State_Case_Count,State_Population,State_Incidence,Sex,Sex_Incidence,Sex_Cases,State_Sex_Cases,State_Sex_Population,State_Sex_Incidence,Age_Category,Age_Population,Age_Incidence,Age_Case_Count,State_Sex_Age_CaseCount,State_Sex_Age_Population,State_Sex_Age_Incidence
2016,Arizona,125,6931071,1.8,Male,7.82,9770,75.107625,3412173.184,2.20116685,40-64 years,82019887,6.46,5297,24.48126821,1103174.579,2.219165368
2016,Arizona,125,6931071,1.8,Male,7.82,9770,75.107625,3412173.184,2.20116685,65+ years,39558446,5.03,1991,9.201851048,532064.5226,1.729461495
2016,Arizona,125,6931071,1.8,Female,5.04,6490,49.89237392,3518900.01,1.417840057,<1 year,3058322,3.4,104,0.319291544,42421.31714,0.752667682
2016,Arizona,125,6931071,1.8,Female,5.04,6490,49.89237392,3518900.01,1.417840057,1-4 years,12301119,13.06,1607,4.933668383,170626.1376,2.89150798
2016,Arizona,125,6931071,1.8,Female,5.04,6490,49.89237392,3518900.01,1.417840057,5-14 years,31642189,6.04,1911,5.866982128,438901.8994,1.336741112
2016,Arizona,125,6931071,1.8,Female,5.04,6490,49.89237392,3518900.01,1.417840057,15-24 years,33918142,5.54,1880,5.771808687,470471.1468,1.226814594
2016,Arizona,125,6931071,1.8,Female,5.04,6490,49.89237392,3518900.01,1.417840057,25-39 years,51193436,6.76,3461,10.62565418,710092.9804,1.496375049
2016,Arizona,125,6931071,1.8,Female,5.04,6490,49.89237392,3518900.01,1.417840057,40-64 years,82019887,6.46,5297,16.26237799,1137679.956,1.429433463
2016,Arizona,125,6931071,1.8,Female,5.04,6490,49.89237392,3518900.01,1.417840057,65+ years,39558446,5.03,1991,6.112591009,548706.5729,1.113999961
2016,Arkansas,178,2988248,5.96,Male,7.82,9770,106.953258,1471117.479,7.270205103,<1 year,3058322,3.4,104,0.684458731,17734.72987,3.859425747
2016,Arkansas,178,2988248,5.96,Male,7.82,9770,106.953258,1471117.479,7.270205103,1-4 years,12301119,13.06,1607,10.57620366,71332.26081,14.82667665
2016,Arkansas,178,2988248,5.96,Male,7.82,9770,106.953258,1471117.479,7.270205103,5-14 years,31642189,6.04,1911,12.57692918,183488.0939,6.854357091
2016,Arkansas,178,2988248,5.96,Male,7.82,9770,106.953258,1471117.479,7.270205103,15-24 years,33918142,5.54,1880,12.37290782,196685.9886,6.290691021
2016,Arkansas,178,2988248,5.96,Male,7.82,9770,106.953258,1471117.479,7.270205103,25-39 years,51193436,6.76,3461,22.7779968,296862.7105,7.672906024
2016,Arkansas,178,2988248,5.96,Male,7.82,9770,106.953258,1471117.479,7.270205103,40-64 years,82019887,6.46,5297,34.86132593,475620.4676,7.32965217
2016,Arkansas,178,2988248,5.96,Male,7.82,9770,106.953258,1471117.479,7.270205103,65+ years,39558446,5.03,1991,13.10343589,229393.2273,5.712215676
